id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count,date_year
33331,J.B. Greenhut Co.,J.B. Greenhut Co.,,,,,,,1915-0070,1915-01-01,J.B. Greenhut Co.,Dollars,$,under review,1,17,1915.0
33332,Keen's English Chop House,Keen's English Chop House,,,,,,,1915-0071,1915-01-01,Keen's English Chop House,,,complete,2,12,1915.0
33333,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0072,1915-01-01,Waldorf Astoria,,,complete,1,13,1915.0
33334,Hotel LaSalle,Hotel LaSalle,,,,,,,1915-0073,1915-01-01,Hotel LaSalle,,,under review,6,14,1915.0
33335,U.S.S. Wyoming,U.S.S. Wyoming,,,,,,,1915-0074,1915-01-01,U.S.S. Wyoming,,,complete,1,19,1915.0
33336,Hotel Savoy,Hotel Savoy,,,,,,,1915-0075,1915-01-01,Hotel Savoy,,,under review,5,19,1915.0
33337,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0076,1915-01-01,Waldorf Astoria,,,under review,5,22,1915.0
33338,Hotel Chamberlin,Hotel Chamberlin,,,,,,,1915-0077,1915-01-01,Hotel Chamberlin,,,complete,2,45,1915.0
33339,Hotel Chamberlin,Hotel Chamberlin,,,,,,,1915-0078,1915-01-01,Hotel Chamberlin,,,under review,2,52,1915.0
33340,J.B. Greenhut Co.,J.B. Greenhut Co.,,,,,,,1915-0079,1915-01-01,J.B. Greenhut Co.,Dollars,$,under review,2,134,1915.0
33342,J.B. Greenhut Co.,J.B. Greenhut Co.,,,,,,,1915-0081,1915-01-01,J.B. Greenhut Co.,Dollars,$,under review,5,285,1915.0
33343,Hotel Martinique,Hotel Martinique,,,,,,,1915-0082,1915-01-01,Hotel Martinique,,,under review,4,17,1915.0
33346,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0085,1915-01-01,Waldorf Astoria,,,complete,18,12,1915.0
33348,Mercantile lunch Co.,Mercantile lunch Co.,,,,,,,1915-0087,1915-01-01,Mercantile lunch Co.,Dollars,$,complete,2,33,1915.0
33349,Mission Inn,Mission Inn,,,,,,,1915-0088,1915-01-01,Mission Inn,,,under review,3,40,1915.0
33350,Seaboard Air Line Railway,Seaboard Air Line Railway,,,,,,,1915-0089,1915-01-01,Seaboard Air Line Railway,Dollars,$,complete,4,116,1915.0
33351,Astor Hotel,Astor Hotel,,,,,,,1915-0090,1915-01-01,Astor Hotel,,,complete,1,11,1915.0
